SRC_TYPE,SRC,DST,EDGE_LABEL
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Desktop,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\dwmapi.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\dwmapi.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\Fonts\staticcache.dat,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\UserInfo.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\p\pfBL.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\MSIMG32.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\MSIMG32.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe.Local\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.24356_none_5c07bd39a00d5ba6,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.24356_none_5c07bd39a00d5ba6,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.24356_none_5c07bd39a00d5ba6\gdiplus.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.24356_none_5c07bd39a00d5ba6\gdiplus.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IPHLPAPI.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\IPHLPAPI.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\WINNSI.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\WINNSI.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\WINHTTP.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\WINHTTP.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\webio.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\webio.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-synch-l1-2-0.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-synch-l1-2-0.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-fibers-l1-1-1.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-fibers-l1-1-1.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-localization-l1-2-1.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-datetime-l1-1-1.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-localization-obsolete-l1-2-0.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Device\Harddisk0\DR0,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Device\Harddisk0\DR0,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\CRYPTSP.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\CRYPTSP.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rsaenh.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\wbemprox.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\wbemprox.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\wbemcomn.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbemcomn.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbemcomn.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\WBEM\Logs\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\RpcRtRemote.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\RpcRtRemote.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\wbemsvc.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\wbemsvc.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\fastprox.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\fastprox.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\wbem\NTDSAPI.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\NTDSAPI.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\NTDSAPI.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\dhcpcsvc6.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\dhcpcsvc6.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\dhcpcsvc.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\dhcpcsvc.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\api-ms-win-core-sysinfo-l1-2-1.DLL,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\tzres.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\tzres.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\tzres.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\tzres.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\en-US\KERNELBASE.dll.mui,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SspiCli.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\SspiCli.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\credssp.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\credssp.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\mswsock.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\mswsock.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\System32\wshtcpip.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\System32\wshtcpip.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\System32\wship6.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\System32\wship6.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\DNSAPI.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\DNSAPI.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rasadhlp.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\rasadhlp.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\System32\fwpuclnt.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\System32\fwpuclnt.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Windows\system32\en-US\WINHTTP.dll.mui,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
