C:\Windows\system32\dwmapi.dll,ccsetup574
C:\Windows\Fonts\staticcache.dat,ccsetup574
C:\Windows\Fonts\StaticCache.dat,ccsetup574
C:\Windows\system32\Secur32.dll,ccsetup574,CCleaner
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files,ccsetup574
C:\Windows\system32\api-ms-win-downlevel-advapi32-l2-1-0.dll,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\counters.dat,ccsetup574
C:\Users\User\AppData\Local\Temp\CheckUpdate.log,ccsetup574
C:\Windows\system32\api-ms-win-downlevel-shlwapi-l2-1-0.dll,ccsetup574
C:\Windows\System32\netprofm.dll,ccsetup574
C:\Windows\System32\nlaapi.dll,ccsetup574
C:\Windows\System32\npmproxy.dll,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\,ccsetup574,taskhost
C:\Users\User\AppData\Roaming,ccsetup574
C:\Users\User\AppData\Roaming\Microsoft\Windows\Cookies,ccsetup574
C:\Users\User\AppData\Roaming\Microsoft\Windows\Cookies\,ccsetup574,taskhost
C:\Users\User\AppData\Local\Microsoft\Windows\History,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\,ccsetup574
C:\Users\User\AppData\Roaming\Microsoft\Windows\DNTException\,taskhost
C:\Users\User\AppData\Local\Microsoft\Internet Explorer\EmieBrowserModeList\,taskhost
C:\Users\User\AppData\Local\Microsoft\Internet Explorer\EmieSiteList\,taskhost
C:\Users\User\AppData\Local\Microsoft\Internet Explorer\EmieUserList\,taskhost
C:\Users\User\AppData\Local\Microsoft\Feeds Cache\,taskhost
C:\Users\User\AppData\Roaming\Microsoft\Windows\IECompatCache\,taskhost
C:\Users\User\AppData\Roaming\Microsoft\Windows\iecompatuaCache\,taskhost
C:\Users\User\AppData\Roaming\Microsoft\Windows\IEDownloadHistory\,taskhost
C:\Users\User\AppData\Roaming\Microsoft\Windows\IETldCache\,taskhost
C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012021011220210113\,taskhost
C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012021011320210114\,taskhost
C:\Users\User\AppData\Roaming\Microsoft\Windows\Cookies\container.dat,taskhost
